16 77
--, --, 🪞, 🠕 , --, --, 🪞, --, --, --, 🠕 , --, --, --, --, 🪞, --, --, --, --, --, 🠖, --, 🪞, 🠗 , --, --, 🠔, 💀, 🪞, --, --, --, 🪞, --, 🠗 , --, --, 🠕 , --, 🪞, --, --, --, 🠗 , --, --, 💀, --, 🠖, --, 💀, --, 🠔, --, 🠕 , 🠗 , --, --, --, 🍬, --, --, --, --, --, --, --, 🠕 , --, 💀, --, --, --, --, 🠔, --, 🍬, 🪞, --, --, --, 🠗 , --, --, 🠖, 🪞, 🠖, --, 🠗 , --, 🠖, 🠕 , --, --, 🠖, --, --, --, 🠖
--, 🠕 , --, --, --, --, 🠔, --, --, 💀, 🍬, --, --, 🠖, 🠕 , 🠕 , 🍄, 🠖, --, 🪞, --, --, --, --, --, --, 🪞, --, --, 🪞, 🠖, --, --, --, --, --, 🪞, 🪞, --, --, --, --, --, 🠕 , --, 🍄, --, --, --, 🠕 , --, --, 🍬, 🠕 , --, 🪞, --, --, 🠕 , --, --, 🠕 , --, --, --, 💀, --, --, 🠔, 🪞, 🍬, 🠗 , --, 🠕 , 🍬, --, 🠗 , 🪞, 🠖, --, 🠗 , --, 🠕 , --, 🪞, --, 🍄, --, 💀, 💀, --, 🠕 , --, --, --, --, --, --, 🍄, --
--, --, 🠕 , --, 🪞, --, --, --, --, --, --, 🠔, 🠖, --, 🠗 , --, 🠗 , --, 🠖, --, 🠖, --, 🪞, --, --, 🠕 , 🍬, --, --, 🠗 , --, --, --, --, --, 🍄, --, 🠔, 🍬, --, 🍄, 🠗 , --, 🠖, --, 🠔, 🠔, 💀, --, 🠗 , 🠔, 🠗 , 🠗 , --, 💀, --, --, --, 🠖, 🠕 , --, --, 💀, 🠔, 🠔, 💀, 🪞, --, --, --, 💀, --, --, 🍄, 🍬, 🠔, 🠔, --, --, 🠕 , 🍄, --, --, 🠔, --, --, --, --, --, --, 🠖, --, --, 🠖, --, --, --, 🍄, 🍬, --
--, 💀, --, --, --, --, --, --, --, 🠖, --, --, --, 🠕 , --, 🍄, 🠖, --, --, --, 🠗 , 🍄, --, --, --, --, --, --, --, --, 🠕 , --, --, --, 🍬, --, --, 🠗 , --, --, 🍄, 🠖, 🠖, 🠔, --, --, --, 💀, --, 🠖, --, 🠖, --, 💀, --, 🍬, 🠕 , --, 🠔, 🠔, --, 🠖, --, 🍬, --, 🠔, --, --, --, --, --, 🠖, --, --, --, --, 🠖, --, --, 🍬, --, --, --, 🠕 , --, 🪞, --, 💀, 💀, --, 🠕 , 🍄, --, 🠕 , 🠕 , 🪞, --, --, --, --
🍬, --, --, --, --, 🪞, --, --, 🠖, --, --, --, --, --, --, 🠖, --, 🠔, 🠖, 🠕 , 🍬, 🠕 , --, --, --, --, --, --, --, --, --, --, 🠖, --, 🍬, --, --, --, 🍄, --, --, 🠖, 🪞, --, --, --, 🪞, --, 🠔, --, 🠔, --, 🠗 , --, 🍬, --, --, 🠕 , 🠔, --, --, 🍬, --, 🠗 , 🠔, 🍬, --, --, --, --, 🪞, 💀, --, 🠖, --, --, --, --, --, 🠖, 🠖, --, --, 🠖, --, 💀, --, --, --, --, 🠗 , --, 🪞, --, 🠔, --, --, --, --, --
--, --, --, 🍬, --, --, --, 💀, --, --, 🠗 , --, --, --, 🍄, 🍄, 🪞, --, --, 💀, --, --, --, 💀, --, --, 🍬, 💀, --, --, --, --, --, --, --, --, --, --, --, --, --, --, 🍬, 🪞, --, --, 💀, 🠔, --, 🍄, 💀, 🠔, --, --, --, --, --, --, 🍄, --, --, --, --, --, 🠔, --, --, --, 🠔, 🠕 , --, --, 🠖, 💀, --, --, --, --, 🍄, --, --, 🠔, --, 🠖, 💀, --, --, --, 🍄, 🠔, --, 🠖, --, --, --, --, --, 🠗 , --, --
--, --, 💀, 🠔, 🠖, --, 🠗 , --, --, --, --, 🠕 , 🠖, --, --, --, --, --, --, --, --, --, 💀, 🠗 , --, 🠕 , --, --, --, --, --, --, --, 💀, 🠕 , 🠖, --, 🠔, --, 🍬, --, --, 🪞, --, --, 🪞, 🠕 , --, --, --, 🠔, --, --, --, --, --, --, --, 🠗 , 🠗 , 🪞, 🠗 , 🍄, 🍬, 🍬, --, --, --, --, 🍄, 💀, --, 🠔, 🍄, --, --, 🍬, --, 🍬, 🍬, 🠗 , --, 🠗 , --, 🠕 , --, --, --, 🠕 , --, --, 🪞, --, --, 🠗 , --, 🠔, 🠔, --, 🪞
--, --, --, --, 🠔, --, --, 🍄, --, --, --, 💀, 💀, 🪞, 🍬, --, 🍄, 🠗 , 🠕 , --, --, --, --, --, --, 🍬, --, --, --, --, 🠖, --, --, --, 💀, --, --, 🠔, --, --, --, --, --, 🠕 , 🪞, --, --, --, 🠗 , --, --, --, 🍬, 🪞, --, 🠗 , --, --, --, 🪞, 💀, --, 🠗 , --, 🍬, 🠗 , --, --, --, --, 💀, --, 🠔, --, 🍬, 🍄, 🠗 , 🠖, --, --, --, 🍄, --, --, 🍄, --, --, 🪞, --, --, --, --, --, --, 🍄, 🠗 , --, --, --, 🍬
--, --, 🍄, 🍬, 🠕 , 🪞, 🠕 , --, --, 💀, --, --, 💀, 💀, --, --, 💀, 🍄, 🠖, --, --, 🍄, 🪞, --, --, --, 🠔, --, --, 🠖, --, 🠕 , 🠗 , --, --, --, 🠖, --, 🠖, 🠔, --, --, --, --, 🪞, --, --, 🠕 , 💀, 🠔, --, 🠔, 🍄, 🠔, 🍬, --, --, --, 🠖, 🠕 , 🪞, --, --, --, --, --, 🠖, --, 🠖, --, 🠖, 🠕 , 🠖, 🍬, 🍄, --, --, --, --, --, 💀, --, --, --, --, --, --, --, --, 🠕 , --, --, --, --, --, --, --, 🠗 , --, --
🠗 , 🍄, --, 🠗 , --, 🍬, 🠕 , --, 🠖, 🪞, --, --, --, --, --, 🠔, --, 🠖, --, --, --, --, 🪞, --, --, --, 💀, --, 🍄, --, --, 🍬, --, --, 🠕 , --, 🠕 , 🠕 , 💀, --, --, 🠗 , --, 🠕 , --, --, 🍄, 🠔, --, --, --, --, 🍄, --, --, 💀, 🠔, --, --, --, --, --, --, 🠔, --, --, --, --, --, 🠖, --, --, --, 🠗 , --, --, --, --, 🍬, 🠖, 🠔, 🠗 , --, --, 💀, --, --, --, --, --, 💀, 💀, 🠖, 🠖, --, 🍄, --, 🠕 , 🪞, --
--, --, 🍬, --, 🠖, --, --, --, --, 🠔, 🠔, --, --, --, --, 🠔, --, 🠔, --, --, 🍄, --, --, --, --, --, 🠔, 🪞, --, --, --, --, 🠖, --, --, 🠖, 🍬, --, --, --, 🪞, --, --, --, 💀, --, --, --, --, --, --, --, --, --, 🠗 , --, 🠗 , 🍬, 🠗 , 🠕 , --, --, --, 💀, --, --, --, --, --, --, 🠕 , 💀, --, --, --, 🠖, 🠖, --, 🠗 , 🠕 , --, --, --, 🪞, --, --, --, --, 🍄, 🍄, --, 🪞, 🠔, --, 🠕 , 🠕 , --, 🠖, 🠖, --
--, --, --, --, 🠕 , 🪞, 🪞, 🍬, 💀, --, --, --, --, 🍬, --, --, --, --, 🍄, 🍄, --, 🪞, --, 💀, --, --, --, --, --, 🠖, 🪞, --, --, 🠗 , --, --, --, 🠖, 🍬, --, 💀, --, --, 🠕 , 🍬, --, --, 🠖, --, 🠖, 🠖, 🍄, 💀, --, --, 🠖, 🍄, --, --, 🍄, --, --, --, --, 🪞, 🪞, 🠖, --, 🠗 , --, --, 🪞, --, --, --, --, --, --, --, 🠗 , 🠗 , --, --, --, 🪞, --, --, --, 💀, --, --, --, --, --, --, 🪞, --, --, --, --
--, 🍬, --, --, --, 💀, --, --, 🠗 , 🍬, --, 🍬, --, --, --, --, 🠗 , --, 💀, --, --, --, --, --, --, --, --, 🍄, 🠖, --, --, 🠗 , --, --, --, 🍄, --, --, 🪞, 💀, 🍬, --, --, --, 🠔, 💀, --, --, --, 🍬, --, 🠗 , --, 💀, --, --, 🠕 , --, 💀, --, 🍄, --, 🠔, 🠖, 🍄, --, 🍄, --, --, 🪞, 🠖, --, --, --, 🠗 , --, --, --, 🠔, --, 🠗 , 🍄, 🠗 , --, --, 🠗 , 🍬, 🠔, --, 💀, 🠗 , --, --, --, --, 🪞, --, 🠕 , --, 💀
--, --, --, 🠕 , --, --, 🪞, --, 🍄, --, --, --, --, --, --, 💀, --, 🠗 , 🠕 , --, 🍬, --, --, 🍄, 🍄, --, --, --, --, --, 🠕 , 🍄, --, 🠗 , 🠖, --, --, --, --, --, --, 🍬, --, --, --, --, --, 🍬, --, --, --, --, --, --, 🪞, 🪞, --, --, 🠔, 🍬, 🠖, 🠔, 🠔, --, --, --, 🠖, --, --, --, --, --, --, --, 💀, --, 🍬, --, --, --, --, --, 🠔, --, --, --, 🍄, --, --, 🠖, --, --, --, --, --, 🍄, --, --, 💀, 🍬
--, --, --, --, 💀, 🠗 , --, --, --, --, --, --, --, --, --, --, --, --, --, 🠖, --, 🍄, 🍬, 🠕 , --, --, 🠖, 🠔, 💀, --, 🠔, 🠕 , --, 💀, --, 🠔, 💀, --, --, 🍄, 🠔, --, 🠕 , 🠕 , --, 🍄, --, --, --, 🍬, 🍬, --, --, --, 🍬, --, 🠕 , --, --, 🍄, --, --, --, --, --, --, --, 💀, 💀, --, --, --, 🠖, --, 🠔, 💀, --, --, 🠕 , --, 💀, 🍬, --, 💀, 🪞, --, --, --, 💀, 🠗 , --, 🍬, --, 🠕 , --, --, --, --, --, 🠕 
--, 🠗 , 🠖, 🠕 , 🠕 , 🍬, 🠔, 🍄, --, 🪞, --, --, 🠖, --, --, --, 💀, 🠕 , --, --, 🠗 , 🍬, 🪞, --, --, --, 🠕 , --, --, 🠗 , --, 🍬, 🍬, --, --, --, --, 🠕 , --, 🍄, --, --, --, --, --, --, --, --, --, 🠕 , 🠖, --, 🪞, --, --, --, 🍬, --, --, 🪞, 🠔, 💀, 🠕 , 🪞, --, --, --, 💀, 🠔, 🍬, --, 🠗 , 🠕 , 🠗 , --, --, 🍬, 🍬, --, 🠗 , 🪞, --, --, 🠖, 🍬, --, --, 🠖, --, --, --, 🠗 , --, --, --, 🍄, --, --, --, 🪞
🪞, --, --, 🍄, --, --, 🪞, --, 🠕 , 🠗 , --, 🪞, --, --, 🠕 , 🠔, --, --, 🠕 , 🠗 , --, --, 🍬, 💀, 🠗 , 🍄, --, 🠕 , 🪞, 🍄, 🍬, 🠗 , --, --, 🍬, --, 🠕 , --, --, 🠕 , --, --, --, 🠔, 🠕 , --, 🍄, --, --, --, --, --, 🠔, --, --, --, 🠖, --, 🠕 , 🠕 , --, --, --, 🍄, --, --, 💀, --, --, --, --, 🍄, 🍄, 🍄, --, 💀, 🍬, --, --, 🠗 , 🪞, --, --, --, --, --, 🍬, 🠕 , --, --, --, --, --, 🪞, 🪞, --, 🠔, 🠔, --, --
